TRY05   Niederrheinisch-westfälische Bucht und Emsland                     (Klimaregion  5)
Station: Essen                           WMO-Nummer: 10410
Lage: 51°24'N <- B.   6°58'O <- L.   152 Meter über NN
Zeitpunkt der Erstellung: November 2010

Art des TRY    : extremer Winter
Bezugszeitraum : 1988-2007
Stadteffekt    : -----
Höhenkorrektur : -----

Datenbasis : Beobachtungsdaten Zeitraum 1988-2007

Format: (i2,2x,i4,2x,i2,2x,i2,2x,i2,2x,i1,2x,i3,2x,f6.1,2x,f6.1,2x,f7.1,2x,f6.1,2x,i3,2x,i2,2x,i4,2x,i4,1x,i1,2x,i4,2x,i5,2x,i1)

Reihenfolge der Parameter:
RG TRY-Region                                                           {1..15}
IS Standortinformation                                                  {1,2}
MM Monat                                                                {1..12}
DD Tag                                                                  {1..28,30,31}
HH Stunde (MEZ)                                                         {1..24}
N  Bedeckungsgrad                                              [Achtel] {0..8;9}
WR Windrichtung in 10 m Höhe über Grund                        [°]      {0;10..360;999}
WG Windgeschwindigkeit in 10 m Höhe über Grund                 [m/s]
t  Lufttemperatur in 2m Höhe über Grund                        [°C]
p  Luftdruck in Stationshöhe                                   [hPa]
x  Wasserdampfgehalt, Mischungsverhältnis                      [g/kg]
RF Relative Feuchte in 2 m Höhe über Grund                     [%]      {1..100}
W  Wetterereignis der aktuellen Stunde                                  {0..99}
B  Direkte Sonnenbestrahlungsstärke (horiz. Ebene)             [W/m²]   abwärts gerichtet: positiv
D  Difuse Sonnenbetrahlungsstärke (horiz. Ebene)               [W/m²]   abwärts gerichtet: positiv
IK Information, ob B und oder D Messwert/Rechenwert                     {1;2;3;4;9}
A  Bestrahlungsstärke d. atm. Wärmestrahlung (horiz. Ebene)    [W/m²]   abwärts gerichtet: positiv
E  Bestrahlungsstärke d. terr. Wärmestrahlung                  [W/m²]   aufwärts gerichtet: negativ
IL Qualitätsbit für die langwelligen Strahlungsgrößen                   {1;2;3;4;5;6;7;8;9}


RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
 5     1   1   1   1  0   70     5.0   -14.5   1001.6     1.1   85   5     0     0 9   168   -248  9
 5     1   1   1   2  0   60     5.0   -14.6   1001.7     1.0   84   5     0     0 9   168   -247  9
 5     1   1   1   3  0   70     4.0   -14.7   1001.8     1.0   84  10     0     0 9   167   -247  9
 5     1   1   1   4  0   60     4.0   -14.9   1001.5     1.0   85  10     0     0 9   167   -246  9
 5     1   1   1   5  0   60     5.0   -15.2   1001.5     1.0   86  10     0     0 9   165   -245  9
 5     1   1   1   6  0   60     5.0   -15.4   1001.3     1.0   88  10     0     0 9   165   -244  9
 5     1   1   1   7  0   50     4.0   -15.7   1001.6     1.0   88  10     0     0 9   163   -243  9
 5     1   1   1   8  0   60     4.0   -16.0   1002.0     1.0   88  10     0     0 9   162   -242  9
 5     1   1   1   9  1   60     4.0   -15.8   1002.3     1.0   87  10     1     1 9   163   -243  9
 5     1   1   1  10  1   50     5.0   -15.5   1002.4     1.0   87  10    35    47 9   165   -244  9
 5     1   1   1  11  1   50     7.0   -15.1   1002.3     1.0   85  10    79    83 9   166   -245  9
 5     1   1   1  12  1   60     5.0   -14.3   1002.1     1.0   83  10   108    99 9   169   -249  9
 5     1   1   1  13  1   50     5.0   -13.2   1001.9     1.1   78  -1   110   100 9   174   -253  9
 5     1   1   1  14  1   60     5.0   -12.5   1001.2     1.1   76  10    86    87 9   176   -256  9
 5     1   1   1  15  1   50     5.0   -12.2   1001.3     1.1   75   5    43    55 9   178   -257  9
 5     1   1   1  16  2   50     5.0   -12.4   1001.4     1.1   77   5     4     6 9   177   -256  9
 5     1   1   1  17  2   50     5.0   -12.8   1001.7     1.1   80  10     0     0 9   176   -255  9
 5     1   1   1  18  3   50     5.0   -13.4   1002.3     1.1   82  10     0     0 9   177   -252  9
 5     1   1   1  19  3   60     5.0   -13.9   1002.5     1.1   83  10     0     0 9   175   -250  9
 5     1   1   1  20  3   70     4.0   -14.4   1002.6     1.1   85  10     0     0 9   173   -249  9
