100_LitersPerDay_[Liters/h/15Minutes]	200LitersPerDay_[Liters/h/15Minutes]	300LitersPerDay_[Liters/h/15Minutes]
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	200	200
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
3.2	55.2	58.4
26.4	118.4	144.8
0	0	0
0	0	0
0	6.4	6.4
0	0	0
0	0	0
12.8	3.2	16
0	0	0
0	24	24
0	4.8	4.8
0	6.4	6.4
0	19.2	19.2
22.4	0	22.4
5.6	0	5.6
0	0	0
12.8	28	40.8
0	28	28
0	0	0
0	0	0
0	0	0
4	17.6	21.6
10.4	0	10.4
11.2	0	11.2
0	0	0
0	17.6	17.6
0	0	0
4	23.2	27.2
6.4	0	6.4
0	0	0
0	0	0
0	4	4
28.8	17.6	46.4
0	24	24
0	27.2	27.2
0	11.2	11.2
0	0	0
0	0	0
48	2.4	50.4
0	6.4	6.4
0	4	4
0	0	0
0	0	0
0	0	0
0	6.4	6.4
0	22.4	22.4
0	0	0
0	0	0
0	0	0
15.2	12	27.2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
33.6	324	357.6
0	296	296
0	0	0
0	7.2	7.2
0	22.4	22.4
0	5.6	5.6
156	0	156
28	0	28
0	8	8
0	0	0
0	0	0
0	0	0
0	0	0
16	0	16
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	7.2	7.2
0	0	0
0	0	0
0	0	0
0	0	0
0	4.8	4.8
0	0	0
0	0	0
0	2.4	2.4
0	0	0
8	0	8
6.4	0	6.4
0	5.6	5.6
0	172	172
0	0	0
0	9.6	9.6
8	0	8
0	0	0
0	0	0
0	35.2	35.2
0	172	172
0	4.8	4.8
7.2	4.8	12
0	0	0
0	3.2	3.2
0	2.4	2.4
0	256.8	256.8
0	16.8	16.8
0	0	0
5.6	0	5.6
0	8	8
0	148	148
0	0	0
1.6	0	1.6
0	0	0
